genotype,video,T*
WT,Video1,21.75
WT,Video1,21.7
WT,Video1,21.73
WT,Video1,21.7
WT,Video1,21.52
WT,Video1,21.38
WT,Video1,21.64
WT,Video 2,21.09
WT,Video 2,21.11
WT,Video 2,21.3
WT,Video 2,21.35
WT,Video 2,21.41
WT,Video 2,21.32
WT,Video 2,21.78
WT,Video 2,21.31
WT,Video 2,21.3
WT,Video 2,21.35
nhr-52,Video1,22.13
nhr-52,Video1,21.85
nhr-52,Video1,21.87
nhr-52,Video1,21.7
nhr-52,Video1,22.09
nhr-52,Video1,22.75
nhr-52,Video1,22.12
nhr-52,Video1,22.13
nhr-52,Video1,22.2
nhr-52,Video2,22.39
nhr-52,Video2,21.83
nhr-52,Video2,21.98
nhr-52,Video2,21.99
nhr-52,Video2,22.44
nhr-52,Video2,21.96
nhr-52,Video2,22.29
nhr-52,Video2,22.09